log	percentagem	frames livres	ALG	faults	total de entradas
1	10	4	OPT	186823	199856
1	10	4	LRU	199852	199856
1	10	8	OPT	186822	199856
1	10	8	LRU	199847	199856
1	10	16	OPT	186820	199856
1	10	16	LRU	199843	199856
1	10	32	OPT	186786	199856
1	10	32	LRU	199828	199856
1	20	4	OPT	379852	408070
1	20	4	LRU	408065	408070
1	20	8	OPT	379851	408070
1	20	8	LRU	408058	408070
1	20	16	OPT	379848	408070
1	20	16	LRU	408051	408070
1	20	32	OPT	379765	408070
1	20	32	LRU	408025	408070
1	30	4	OPT	573061	616342
1	30	4	LRU	616336	616342
1	30	8	OPT	573060	616342
1	30	8	LRU	616329	616342
1	30	16	OPT	573056	616342
1	30	16	LRU	616319	616342
1	30	32	OPT	572905	616342
1	30	32	LRU	616289	616342
1	40	4	OPT	766442	824643
1	40	4	LRU	824637	824643
1	40	8	OPT	766440	824643
1	40	8	LRU	824628	824643
1	40	16	OPT	766435	824643
1	40	16	LRU	824615	824643
1	40	32	OPT	766228	824643
1	40	32	LRU	824580	824643
1	50	4	OPT	975072	1034132
1	50	4	LRU	1034125	1034132
1	50	8	OPT	975070	1034132
1	50	8	LRU	1034116	1034132
1	50	16	OPT	975065	1034132
1	50	16	LRU	1034103	1034132
1	50	32	OPT	974858	1034132
1	50	32	LRU	1034068	1034132
1	60	4	OPT	1170602	1241298
1	60	4	LRU	1241289	1241298
1	60	8	OPT	1170600	1241298
1	60	8	LRU	1241277	1241298
1	60	16	OPT	1170594	1241298
1	60	16	LRU	1241261	1241298
1	60	32	OPT	1170333	1241298
1	60	32	LRU	1241221	1241298
1	70	4	OPT	1365660	1449811
1	70	4	LRU	1449802	1449811
1	70	8	OPT	1365658	1449811
1	70	8	LRU	1449790	1449811
1	70	16	OPT	1365649	1449811
1	70	16	LRU	1449770	1449811
1	70	32	OPT	1365330	1449811
1	70	32	LRU	1449728	1449811
1	80	4	OPT	1560146	1658274
1	80	4	LRU	1658265	1658274
1	80	8	OPT	1560143	1658274
1	80	8	LRU	1658253	1658274
1	80	16	OPT	1560133	1658274
1	80	16	LRU	1658229	1658274
1	80	32	OPT	1559764	1658274
1	80	32	LRU	1658179	1658274
1	90	4	OPT	1754461	1866555
1	90	4	LRU	1866544	1866555
1	90	8	OPT	1754458	1866555
1	90	8	LRU	1866531	1866555
1	90	16	OPT	1754448	1866555
1	90	16	LRU	1866502	1866555
1	90	32	OPT	1754010	1866555
1	90	32	LRU	1866445	1866555
1	100	4	OPT	1949008	2075033
1	100	4	LRU	2075021	2075033
1	100	8	OPT	1949005	2075033
1	100	8	LRU	2075006	2075033
1	100	16	OPT	1948995	2075033
1	100	16	LRU	2074971	2075033
1	100	32	OPT	1948493	2075033
1	100	32	LRU	2074910	2075033
2	10	4	OPT	186738	199842
2	10	4	LRU	199838	199842
2	10	8	OPT	186737	199842
2	10	8	LRU	199833	199842
2	10	16	OPT	186735	199842
2	10	16	LRU	199830	199842
2	10	32	OPT	186702	199842
2	10	32	LRU	199812	199842
2	20	4	OPT	379672	408031
2	20	4	LRU	408026	408031
2	20	8	OPT	379671	408031
2	20	8	LRU	408019	408031
2	20	16	OPT	379668	408031
2	20	16	LRU	408013	408031
2	20	32	OPT	379586	408031
2	20	32	LRU	407983	408031
2	30	4	OPT	572771	616285
2	30	4	LRU	616279	616285
2	30	8	OPT	572770	616285
2	30	8	LRU	616272	616285
2	30	16	OPT	572766	616285
2	30	16	LRU	616263	616285
2	30	32	OPT	572616	616285
2	30	32	LRU	616229	616285
2	40	4	OPT	766045	824571
2	40	4	LRU	824565	824571
2	40	8	OPT	766043	824571
2	40	8	LRU	824556	824571
2	40	16	OPT	766037	824571
2	40	16	LRU	824544	824571
2	40	32	OPT	765830	824571
2	40	32	LRU	824506	824571
2	50	4	OPT	974667	1034058
2	50	4	LRU	1034051	1034058
2	50	8	OPT	974665	1034058
2	50	8	LRU	1034042	1034058
2	50	16	OPT	974659	1034058
2	50	16	LRU	1034030	1034058
2	50	32	OPT	974452	1034058
2	50	32	LRU	1033992	1034058
2	60	4	OPT	1170157	1241218
2	60	4	LRU	1241210	1241218
2	60	8	OPT	1170154	1241218
2	60	8	LRU	1241197	1241218
2	60	16	OPT	1170147	1241218
2	60	16	LRU	1241182	1241218
2	60	32	OPT	1169888	1241218
2	60	32	LRU	1241138	1241218
2	70	4	OPT	1365159	1449719
2	70	4	LRU	1449711	1449719
2	70	8	OPT	1365156	1449719
2	70	8	LRU	1449698	1449719
2	70	16	OPT	1365147	1449719
2	70	16	LRU	1449679	1449719
2	70	32	OPT	1364831	1449719
2	70	32	LRU	1449633	1449719
2	80	4	OPT	1559609	1658176
2	80	4	LRU	1658168	1658176
2	80	8	OPT	1559605	1658176
2	80	8	LRU	1658155	1658176
2	80	16	OPT	1559595	1658176
2	80	16	LRU	1658131	1658176
2	80	32	OPT	1559229	1658176
2	80	32	LRU	1658077	1658176
2	90	4	OPT	1753927	1866458
2	90	4	LRU	1866448	1866458
2	90	8	OPT	1753923	1866458
2	90	8	LRU	1866434	1866458
2	90	16	OPT	1753913	1866458
2	90	16	LRU	1866405	1866458
2	90	32	OPT	1753478	1866458
2	90	32	LRU	1866344	1866458
2	100	4	OPT	1948476	2074939
2	100	4	LRU	2074928	2074939
2	100	8	OPT	1948472	2074939
2	100	8	LRU	2074912	2074939
2	100	16	OPT	1948462	2074939
2	100	16	LRU	2074877	2074939
2	100	32	OPT	1947961	2074939
2	100	32	LRU	2074812	2074939
3	10	4	OPT	186693	199835
3	10	4	LRU	199831	199835
3	10	8	OPT	186692	199835
3	10	8	LRU	199827	199835
3	10	16	OPT	186690	199835
3	10	16	LRU	199821	199835
3	10	32	OPT	186657	199835
3	10	32	LRU	199806	199835
3	20	4	OPT	379594	408036
3	20	4	LRU	408031	408036
3	20	8	OPT	379593	408036
3	20	8	LRU	408025	408036
3	20	16	OPT	379589	408036
3	20	16	LRU	408016	408036
3	20	32	OPT	379507	408036
3	20	32	LRU	407993	408036
3	30	4	OPT	572651	616282
3	30	4	LRU	616276	616282
3	30	8	OPT	572650	616282
3	30	8	LRU	616270	616282
3	30	16	OPT	572645	616282
3	30	16	LRU	616257	616282
3	30	32	OPT	572497	616282
3	30	32	LRU	616228	616282
3	40	4	OPT	765870	824551
3	40	4	LRU	824545	824551
3	40	8	OPT	765868	824551
3	40	8	LRU	824538	824551
3	40	16	OPT	765862	824551
3	40	16	LRU	824523	824551
3	40	32	OPT	765657	824551
3	40	32	LRU	824490	824551
3	50	4	OPT	974498	1034038
3	50	4	LRU	1034031	1034038
3	50	8	OPT	974496	1034038
3	50	8	LRU	1034024	1034038
3	50	16	OPT	974490	1034038
3	50	16	LRU	1034009	1034038
3	50	32	OPT	974285	1034038
3	50	32	LRU	1033976	1034038
3	60	4	OPT	1169882	1241178
3	60	4	LRU	1241170	1241178
3	60	8	OPT	1169880	1241178
3	60	8	LRU	1241160	1241178
3	60	16	OPT	1169873	1241178
3	60	16	LRU	1241141	1241178
3	60	32	OPT	1169621	1241178
3	60	32	LRU	1241103	1241178
3	70	4	OPT	1364785	1449675
3	70	4	LRU	1449667	1449675
3	70	8	OPT	1364783	1449675
3	70	8	LRU	1449657	1449675
3	70	16	OPT	1364774	1449675
3	70	16	LRU	1449634	1449675
3	70	32	OPT	1364471	1449675
3	70	32	LRU	1449593	1449675
3	80	4	OPT	1559101	1658117
3	80	4	LRU	1658109	1658117
3	80	8	OPT	1559098	1658117
3	80	8	LRU	1658098	1658117
3	80	16	OPT	1559088	1658117
3	80	16	LRU	1658072	1658117
3	80	32	OPT	1558738	1658117
3	80	32	LRU	1658023	1658117
3	90	4	OPT	1753265	1866382
3	90	4	LRU	1866372	1866382
3	90	8	OPT	1753262	1866382
3	90	8	LRU	1866360	1866382
3	90	16	OPT	1753252	1866382
3	90	16	LRU	1866329	1866382
3	90	32	OPT	1752840	1866382
3	90	32	LRU	1866273	1866382
3	100	4	OPT	1947660	2074836
3	100	4	LRU	2074825	2074836
3	100	8	OPT	1947657	2074836
3	100	8	LRU	2074811	2074836
3	100	16	OPT	1947647	2074836
3	100	16	LRU	2074774	2074836
3	100	32	OPT	1947177	2074836
3	100	32	LRU	2074712	2074836
4	10	4	OPT	573061	616342
4	10	4	LRU	616336	616342
4	10	8	OPT	573060	616342
4	10	8	LRU	616329	616342
4	10	16	OPT	573056	616342
4	10	16	LRU	616319	616342
4	10	32	OPT	572905	616342
4	10	32	LRU	616289	616342
4	20	4	OPT	1170602	1241298
4	20	4	LRU	1241289	1241298
4	20	8	OPT	1170600	1241298
4	20	8	LRU	1241277	1241298
4	20	16	OPT	1170594	1241298
4	20	16	LRU	1241261	1241298
4	20	32	OPT	1170333	1241298
4	20	32	LRU	1241221	1241298
4	30	4	OPT	1754461	1866555
4	30	4	LRU	1866544	1866555
4	30	8	OPT	1754458	1866555
4	30	8	LRU	1866531	1866555
4	30	16	OPT	1754448	1866555
4	30	16	LRU	1866502	1866555
4	30	32	OPT	1754010	1866555
4	30	32	LRU	1866445	1866555
4	40	4	OPT	2328677	2483064
4	40	4	LRU	2483049	2483064
4	40	8	OPT	2328669	2483064
4	40	8	LRU	2483032	2483064
4	40	16	OPT	2328649	2483064
4	40	16	LRU	2482993	2483064
4	40	32	OPT	2328050	2483064
4	40	32	LRU	2482914	2483064
4	50	4	OPT	2923672	3109091
4	50	4	LRU	3109074	3109091
4	50	8	OPT	2923663	3109091
4	50	8	LRU	3109054	3109091
4	50	16	OPT	2923641	3109091
4	50	16	LRU	3109014	3109091
4	50	32	OPT	2922918	3109091
4	50	32	LRU	3108927	3109091
4	60	4	OPT	3508614	3733209
4	60	4	LRU	3733190	3733209
4	60	8	OPT	3508603	3733209
4	60	8	LRU	3733167	3733209
4	60	16	OPT	3508576	3733209
4	60	16	LRU	3733119	3733209
4	60	32	OPT	3507691	3733209
4	60	32	LRU	3733011	3733209
4	70	4	OPT	4084171	4349807
4	70	4	LRU	4349784	4349807
4	70	8	OPT	4084155	4349807
4	70	8	LRU	4349756	4349807
4	70	16	OPT	4084119	4349807
4	70	16	LRU	4349696	4349807
4	70	32	OPT	4083053	4349807
4	70	32	LRU	4349569	4349807
4	80	4	OPT	4663348	4974523
4	80	4	LRU	4974497	4974523
4	80	8	OPT	4663331	4974523
4	80	8	LRU	4974466	4974523
4	80	16	OPT	4663292	4974523
4	80	16	LRU	4974402	4974523
4	80	32	OPT	4662054	4974523
4	80	32	LRU	4974257	4974523
4	90	4	OPT	5262263	5599647
4	90	4	LRU	5599618	5599647
4	90	8	OPT	5262246	5599647
4	90	8	LRU	5599585	5599647
4	90	16	OPT	5262203	5599647
4	90	16	LRU	5599514	5599647
4	90	32	OPT	5260865	5599647
4	90	32	LRU	5599358	5599647
4	100	4	OPT	5845138	6224808
4	100	4	LRU	6224776	6224808
4	100	8	OPT	5845120	6224808
4	100	8	LRU	6224739	6224808
4	100	16	OPT	5845076	6224808
4	100	16	LRU	6224656	6224808
4	100	32	OPT	5843571	6224808
4	100	32	LRU	6224479	6224808
